RepaymentID,LoanID,Month,ActualRepayment,LoanAmount,ScheduledRepayment,LoanBalanceStart,LoanBalanceEnd,InterestPayment
544.0,1,1,2399.54,52000.0,2399.54,52000.0,50033.79,433.33
1313.0,1,2,2399.54,52000.0,2399.54,50033.79,48051.2,416.95
2551.0,1,3,2399.54,52000.0,2399.54,48051.2,46052.09,400.43
3636.0,1,4,2399.54,52000.0,2399.54,46052.09,44036.32,383.77
4300.0,1,5,2399.54,52000.0,2399.54,44036.32,42003.74,366.97
5847.0,1,6,2399.54,52000.0,2399.54,42003.74,39954.24,350.03
6362.0,1,7,2399.54,52000.0,2399.54,39954.24,37887.65,332.95
7520.0,1,8,2399.54,52000.0,2399.54,37887.65,35803.84,315.73
8699.0,1,9,2399.54,52000.0,2399.54,35803.84,33702.66,298.37
9438.0,1,10,2399.54,52000.0,2399.54,33702.66,31583.98,280.86
10053.0,1,11,2399.54,52000.0,2399.54,31583.98,29447.64,263.2
11306.0,1,12,2399.54,52000.0,2399.54,29447.64,27293.5,245.4
707.0,2,1,5306.67,115000.0,5306.67,115000.0,110651.66,958.33
1869.0,2,2,5306.67,115000.0,5306.67,110651.66,106267.09,922.1
2084.0,2,3,5306.67,115000.0,5306.67,106267.09,101845.98,885.56
3035.0,2,4,5306.67,115000.0,5306.67,101845.98,97388.03,848.72
4686.0,2,5,5306.67,115000.0,5306.67,97388.03,92892.92,811.57
5597.0,2,6,5306.67,115000.0,5306.67,92892.92,88360.36,774.11
6659.0,2,7,5306.67,115000.0,5306.67,88360.36,83790.03,736.34
7434.0,2,8,5306.67,115000.0,5306.67,83790.03,79181.61,698.25
8478.0,2,9,5306.67,115000.0,5306.67,79181.61,74534.78,659.85
9839.0,2,10,5306.67,115000.0,5306.67,74534.78,69849.24,621.12
10701.0,2,11,5306.67,115000.0,5306.67,69849.24,65124.64,582.08
11995.0,2,12,5306.67,115000.0,5306.67,65124.64,60360.68,542.71
98.0,3,1,4199.19,91000.0,4199.19,91000.0,87559.14,758.33
1893.0,3,2,4199.19,91000.0,4199.19,87559.14,84089.61,729.66
2137.0,3,3,4199.19,91000.0,4199.19,84089.61,80591.17,700.75
3174.0,3,4,8398.38,91000.0,4199.19,80591.17,72864.38,671.59
4495.0,3,5,8398.38,91000.0,4199.19,72864.38,65073.21,607.2
5041.0,3,6,4199.19,91000.0,4199.19,65073.21,61416.29,542.28
6512.0,3,7,4199.19,91000.0,4199.19,61416.29,57728.91,511.8
7716.0,3,8,4199.19,91000.0,4199.19,57728.91,54010.79,481.07
8263.0,3,9,4199.19,91000.0,4199.19,54010.79,50261.69,450.09
9117.0,3,10,4199.19,91000.0,4199.19,50261.69,46481.35,418.85
10991.0,3,11,4199.19,91000.0,4199.19,46481.35,42669.5,387.34
11553.0,3,12,4199.19,91000.0,4199.19,42669.5,38825.89,355.58
539.0,4,1,3553.16,77000.0,3553.16,77000.0,74088.51,641.67
1959.0,4,2,3553.16,77000.0,3553.16,74088.51,71152.75,617.4
2052.0,4,3,3553.16,77000.0,3553.16,71152.75,68192.53,592.94
3559.0,4,4,3553.16,77000.0,3553.16,68192.53,65207.64,568.27
